Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2019,EAST CARROLL PARISH SCH BOARD,1,0,0,0,61,,LA,LAKE PROVIDENCE,71254
2019,MASSACHUSETTS TRIAL COURTS,0,0,1,0,54,,MA,BOSTON,02108
2019,PUTNAM US HOLDINGS I LLC,1,0,0,0,52,,MA,BOSTON,02109
2019,QUANTITATIVE ECONOMIC SOLNS LLC,0,0,1,0,54,,MA,BOSTON,02110
2019,SYMPHONY EYC SOLUTIONS US LLC,1,0,0,0,54,,MA,BRAINTREE,02184
2019,HSA CORP DBA THE ACADEMY AT HARVAR,1,0,0,0,61,,MA,CAMBRIDGE,02138
2019,FORRESTER RESEARCH INC,4,0,5,1,99,,MA,CAMBRIDGE,02140
2019,MERRIMACK VALLEY DENTAL CARE PC,1,0,0,0,62,,MA,DRACUT,01826
2019,STRATUS TECHNOLOGIES INC,0,0,1,0,54,,MA,MAYNARD,01754
2019,H C STARCK INC,0,1,0,0,33,,MA,NEWTON HIGHLANDS,02461
2019,ECA SOLAR LLC,2,0,0,0,22,,MA,WALTHAM,02453
2019,LOTUS TECHNICAL STAFFING SOLNS INC,1,0,0,0,54,,MA,WILLIAMSTOWN,01267
2019,BEACON ST SERVICES LLC,0,0,3,0,51,,MD,BALTIMORE,21201
2019,CREOAL CONSULTING,1,0,0,0,54,,MD,BETHESDA,20814
2019,VTECH LLC,1,0,0,0,54,,MD,ELLICOTT CITY,21043
2019,BEL AIR DENTAL HEALTH ASSOCIATES,1,0,0,0,62,,MD,FOREST HILL,21050
2019,LEADER FUNDING INC,0,0,1,0,52,,MD,GAITHERSBURG,20878
2019,ST MARY S COLLEGE OF MARYLAND,0,0,1,0,61,,MD,SAINT MARYS CITY,20686
2019,STRUCTURAL DESIGH INCORPORATED D/B,1,0,0,0,54,,MI,ANN ARBOR,48104
2019,F H R INC DBA MI LANGUAGE CTR,0,1,0,0,61,,MI,ANN ARBOR,48104
2019,TIMOTHY G MICHALIK LLC,1,0,0,0,54,,MI,BRIGHTON,48116
2019,ZHONGDING USA CADILLAC INC DBA MIC,1,0,0,0,32,,MI,CADILLAC,49601
2019,REAL WORLD TECHNOLOGIES INC,0,0,1,0,54,,MI,FARMINGTON,48334
2019,EDWARD W SPARROW HOSPITAL ASSOCIAT,1,0,0,0,62,,MI,LANSING,48912
2019,SHRESTHA TECH SERVICES INC,0,1,0,0,54,,MI,PLYMOUTH,48170
2019,SYNTEL IN,0,0,1,0,54,,MI,TROY,48083
2019,VISTEON CORPORATION,0,0,1,0,99,,MI,VAN BUREN TWP,48111
2019,FORSMAN FARMS INC,1,0,0,1,11,,MN,HOWARD LAKE,55349
2019,POPLAR BLUFF HMA PHYSICIAN MGMT,0,0,1,0,62,,MO,POPLAR BLUFF,63901
2019,WASHINGTON UNIVERSITY,1,0,0,0,61,,MO,SAINT LOUIS,63130
2019,MONTANA STATE UNIV BILLINGS,1,0,0,0,61,,MT,BILLINGS,59101
2019,NOVUS RESOURCES INC,0,0,1,0,54,,NC,CARY,27519
2019,THREE OAKS ENGINEERING,1,0,0,0,54,,NC,DURHAM,27701
2019,UNIV OF NC AT GREENSBORO,1,0,0,0,61,,NC,GREENSBORO,27412
2019,LEMON TREE MEDIA LLC,1,0,0,0,54,,NC,RALEIGH,27615
2019,BB&T CORP,0,0,1,0,52,,NC,WINSTON SALEM,27102
2019,BB&T CORP,0,0,3,0,99,,NC,WINSTON SALEM,27102
2019,DOOSAN INFRACORE NORTH AMERICA LLC,0,0,1,0,33,,ND,WEST FARGO,58078
2019,PC CONNECTION INC DBA CONNECTION,0,1,0,0,42,,NH,MERRIMACK,03054
2019,SOFTWARE TECHNOLOGY INTL CORP,0,0,1,0,54,,NH,NASHUA,03063
2019,ATLANTIC DIGESTIVE SPECIALISTS,1,0,0,0,62,,NH,SOMERSWORTH,03878
2019,WUXI APPTEC SALES LLC,0,0,0,1,54,,NJ,EAST BRUNSWICK,08816
2019,BINARY SEMANTICS INC,0,0,1,0,54,,NJ,EDISON,08820
2019,MICRO DATA SYSTEMS INC,0,1,0,0,54,,NJ,HOLMDEL,07733
2019,EBAOTECH INC,1,0,0,0,54,,NJ,JERSEY CITY,07302
2019,SPLN INTERNATIONAL LLC,0,0,0,2,54,,NJ,JERSEY CITY,07306
2019,ELEPHANT BYTES INC,0,0,1,0,54,,NJ,JERSEY CITY,07311
2019,ALL AMERICAN HEALTHCARE SERVICES,0,0,1,0,56,,NJ,NEWARK,07102
2019,RECACHE INC,0,0,0,1,54,,NJ,NORTH BRUNSWICK,08902
2019,NETROCON SYSTEMS LLC DBA NETROCON,0,0,1,0,54,,NJ,PRINCETON,08540
2019,FPM TECHNOLOGIES INC,0,0,2,0,54,,NJ,SAYREVILLE,08872
2019,ENDEAVOUR SOFTWARE TECHNOLOGIES IN,1,0,1,0,54,,NJ,SHORT HILLS,07078
2019,KNOWLEDGENT GROUP INC,0,0,1,1,54,,NJ,WARREN,07059
2019,LOVELACE BIOMEDICAL & ENVIRONMENTA,1,0,1,0,54,,NM,ALBUQUERQUE,87108
2019,MACE NORTH AMERICA LIMITED,0,0,1,0,99,,NY,ATLANTA,14808
2019,KAG ENGINEERING PLLC,0,0,1,0,54,,NY,BAYPORT,11705
2019,CHARGE CCCV LLC,1,0,0,0,53,,NY,BINGHAMTON,13902
2019,NORWEGIAN CHRISTIAN HOME HLTH CTR,0,0,0,1,62,,NY,BROOKLYN,11219
2019,CRAZE INC DBA SCREENSHOP,0,1,0,0,54,,NY,BROOKLYN,11231
2019,CORNELL UNIV GLOBAL LEARNING,2,0,5,0,61,,NY,ITHACA,14853
2019,GREAT HEIGHTS CONSULTING CORP,0,0,1,0,54,,NY,JAMAICA,11432
2019,ALTANOVA LLC,0,0,1,0,54,,NY,LONG ISLAND CITY,11101
2019,LODGING SOLUTIONS LLC DBA ACCOMIDA,0,0,1,0,56,,NY,MELVILLE,11747
2019,RICHMOND CHILDREN S CENTER DBA RIC,1,0,1,0,62,,NY,MOUNT KISCO,10549
2019,CRUSHH APP LLC,1,0,0,0,51,,NY,NEW YORK,10003
2019,EFESO CONSULTING INC,1,0,0,0,54,,NY,NEW YORK,10004
2019,REORG RESEARCH INC,1,0,0,0,51,,NY,NEW YORK,10010
2019,TASKSTREAM HOLDINGS DBA WATERMARK,0,0,2,0,54,,NY,NEW YORK,10010
2019,KOSTOW GREENWWOOD ARCHITECTS LLP,0,0,1,0,54,,NY,NEW YORK,10012
2019,TITANIUM REALTY GROUP LLC,0,0,1,1,54,,NY,NEW YORK,10013
2019,VETTY INC,0,0,1,0,51,,NY,NEW YORK,10014
2019,OSCAR DE LA RENTA LLC,1,0,0,0,31,,NY,NEW YORK,10036
2019,WK WEBSTER OVERSEAS LTD,1,0,0,0,52,,NY,NEW YORK,10038
2019,TPG OPPORTUNITITES PARTNERS LP,0,0,1,0,52,,NY,NEW YORK,10106
2019,AGRICULTURAL BANK CHINA LIMITED,0,0,1,0,52,,NY,NEW YORK,10172
2019,LAW OFF OF ALBERT WAI-KIT CHAN PLL,0,0,1,0,54,,NY,WHITESTONE,11357
2019,AMTRUST FINANCIAL SERVICES INC,1,0,0,0,52,,OH,CLEVELAND,44114
2019,THE VEALE FOUNDATION,1,0,0,0,81,,OH,CLEVELAND,44124
2019,GRANGE MUTUAL CASUALTY COMPANY,0,0,2,0,52,,OH,COLUMBUS,43206
2019,TERADA OPERATIONS INC,1,0,0,0,54,,OH,MIAMISBURG,45342
2019,COSMAX USA INC,2,0,0,0,32,,OH,SOLON,44139
2019,OHIO NE HEALTH SYS DBA ONE HEALTH,0,0,1,0,62,,OH,YOUNGSTOWN,44505
2019,UNIV OF OK HEALTH SCIENCES CENTER,2,0,0,0,61,,OK,OKLAHOMA CITY,73104
2019,ALLIANCE STEEL INC,0,0,1,0,33,,OK,OKLAHOMA CITY,73179
2019,BIOTRONIK INC,0,0,1,0,33,,OR,LAKE OSWEGO,97035
2019,PRODAPT NA,0,0,1,0,54,,OR,TUALATIN,97062
2019,I I SOFTWARE INC,0,0,1,0,54,,PA,BETHLEHEM,18020
2019,DICKINSON COLLEGE,1,0,0,0,61,,PA,CARLISLE,17013
2019,URSINUS COLLEGE,0,0,1,0,61,,PA,COLLEGEVILLE,19426
2019,VIHAR F W LP BEST WESTERN INN,0,0,1,0,72,,PA,FORT WASHINGTON,19034
2019,BIOCOAT INCORPORATED,0,0,1,0,54,,PA,HORSHAM,19044
2019,MASTECH DIGITAL CONSULTING INC A M,0,0,0,1,54,,PA,MOON TOWNSHIP,15108
2019,BLUE OCEAN INTERNATIONAL BANK LLC,1,0,0,0,52,,PR,SAN JUAN,00918
2019,WINTHROP UNIVERSITY,0,0,1,0,61,,SC,ROCK HILL,29733
2019,RE SPEC INC,1,0,0,0,54,,SD,RAPID CITY,57703
2019,CBL & ASSOCIATES MANAGEMENT INC,0,1,0,0,53,,TN,CHATTANOOGA,37421
2019,UT LEBONHEUR PEDIATRIC SPECIALISTS,0,0,1,0,62,,TN,MEMPHIS,38103
2019,JSW ENTERPRISE LLC,0,1,0,0,32,,TX,ALLEN,75013
2019,LANE BOOT COMPANY,0,0,1,0,31,,TX,ARLINGTON,76011
2019,REAL CAPITAL INVESTMENTS LLC,1,0,0,0,53,,TX,AUBREY,76227
2019,NATGASOLINE LLC,0,0,1,0,32,,TX,BEAUMONT,77705
2019,PRONTO GENERAL AGENCY LTD,1,0,0,0,52,,TX,BROWNSVILLE,78520
2019,VERATECH SYSTEMS LLC,1,0,0,0,54,,TX,CEDAR PARK,78613
2019,CONROE INDEPENDENT SCHOOL DISTRICT,1,0,1,0,61,,TX,CONROE,77304
2019,HUNT JOINER INC,0,0,1,0,54,,TX,DALLAS,75207
2019,DOHH PLLC,1,0,0,0,62,,TX,DALLAS,75231
2019,SLK GLOBAL SOLUTIONS AMERICA,0,0,1,0,54,,TX,DALLAS,75234
2019,PINNACLE TECHNICAL RESOURCES I,0,0,0,1,54,,TX,DALLAS,75240
2019,ZURI FURNITURE LLC,0,1,0,0,99,,TX,FARMERS BRANCH,75244
2019,U PIZZA LLC,0,0,1,0,72,,TX,FULSHEAR,77441
2019,TRAFIGURA TRADING LLC,1,0,0,0,42,,TX,HOUSTON,77010
2019,TRAFIGURA TRADING LLC,0,0,1,0,52,,TX,HOUSTON,77010
2019,ON TARGET INTERNET SOLUTIONS I LP,0,1,0,0,54,,TX,HOUSTON,77027
2019,DATA DYNAMICS INC,1,0,0,0,54,,TX,HOUSTON,77042
2019,AMISTCO SEPARATION PRODUCTS INC DB,1,0,0,0,33,,TX,HOUSTON,77053
2019,SUPREME PHARMACY LLC DBA METRORX,1,0,0,0,44,,TX,HOUSTON,77057
2019,JMP PETROLEUM TECHNOLOGIES LLC,0,1,0,0,33,,TX,HUMBLE,77338
2019,PIXENTIA CORP,0,0,0,1,54,,TX,IRVING,75038
2019,SOLOVIS INC,1,0,0,0,52,,TX,IRVING,75039
2019,DATA SUPPORT LLC,0,1,0,0,51,,TX,IRVING,75062
2019,UNITED METHODIST CHURCH NW TX CONF,1,0,0,0,81,,TX,LUBBOCK,79401
2019,SELMAN GEO SERVICES INC,0,1,0,0,54,,TX,MIDLAND,79706
2019,MORROW RENEWABLES LLC,1,0,0,0,21,,TX,MIDLAND,79707
2019,MK ASSOCIATES INC,0,0,1,0,54,,TX,PLANO,75075
2019,GALAXY ELECTRONICS COMPANY,0,0,1,0,33,,TX,RICHARDSON,75081
2019,BHS PHYSICIANS NETWORK INC,0,0,1,0,62,,TX,SAN ANTONIO,78217
2019,ALAMO AREA RAPE CRISIS CENTER,0,0,1,0,62,,TX,SAN ANTONIO,78228
2019,ENTERPRISE INFIONICS INC,0,0,0,1,54,,TX,SPRING,77379
2019,DIVVY PAY INC,0,0,1,0,54,,UT,LEHI,84043
2019,TITANIUM LLC D/B/A INLINGUA,1,0,0,0,61,,VA,ARLINGTON,22209
2019,APEX CLEAN ENERGY INC,0,1,0,0,54,,VA,CHARLOTTESVILLE,22902
2019,LARGETON INC,1,0,1,0,54,,VA,HERNDON,20171
2019,TARARA WINERY LLC,0,0,1,0,31,,VA,LEESBURG,20176
2019,LUSSOTECH LLC,1,0,0,0,54,,VA,STERLING,20164
2019,ABAS-USA INC,1,0,0,0,54,,VA,STERLING,20166
2019,CLUNE CONSTRUCTION COMPANY LP,0,0,1,0,23,,VA,VIENNA,22182
2019,CONCEPTS INFORMATION TECH,0,0,1,0,99,,VA,VIENNA,22182
2019,UNIV OF VT HEALTH NETWORK MED GRP,0,0,1,0,62,,VT,BURLINGTON,05401
2019,WESTERN WASHINGTON UNIVERSITY,1,0,0,0,61,,WA,BELLINGHAM,98225
2019,MARKET SOLUTIONS ASIA LLC,0,1,0,0,54,,WA,BRUSH PRAIRIE,98606
2019,CLEAR SPEECH INCORPORATED,0,0,1,0,62,,WA,EVERETT,98201
2019,STRATEGIES 360,1,0,0,0,54,,WA,SEATTLE,98109
2019,A2Z DEVELOPMENT CENTER D/B/A LAB 1,1,0,0,0,42,,WA,SEATTLE,98121
2019,A2ZDEVELOPMENT CENTER INC,1,0,0,0,54,,WA,SEATTLE,98121
2019,AMAZON MEDIA GRP LLC,0,0,1,0,99,,WA,SEATTLE,98121
2019,UNIV OF WISCONSIN SYSTEM/GREEN BAY,0,0,1,0,61,,WI,MADISON,53715
2019,ENGBERG ANDERSON INC,0,0,1,0,54,,WI,MILWAUKEE,53202
2019,BLACKTHORNE CAPITAL MANAGEMENT LLC,1,0,0,0,52,,WI,WHITEWATER,53190
2019,MTN STATE SOFTWARE SOLNS LLC DBA M,1,2,0,0,54,,WV,RANSON,25438
2019,LL BEAN INC,0,0,3,0,33,6590,ME,FREEPORT,04033
2019,LL BEAN INC,1,0,0,0,44,6590,ME,FREEPORT,04033
2019,TD BANK NATIONAL ASSOCIATION,9,1,10,0,52,7770,NJ,MOUNT LAUREL,08054
2019,SOUTHERN MAINE HEALTH CARE,0,0,1,0,62,9500,ME,BIDDEFORD,04005
2019,THE MOUNT DESERT ISLAND BIOLOGICAL,2,0,0,0,54,2467,ME,SALSBURY COVE,04672
2019,COLBY COLLEGE,6,0,3,0,61,1497,ME,WATERVILLE,04901
2019,EASTERN MAINE MEDICAL CENTER,11,0,19,0,62,1501,ME,BANGOR,04401
2019,THE JACKSON LABORATORY,16,0,21,1,54,1513,ME,BAR HARBOR,04609
2019,ST MARYS REGIONAL MEDICAL CENTER,1,0,2,0,62,1551,ME,LEWISTON,04240
2019,BATES COLLEGE,3,0,0,0,61,1781,ME,LEWISTON,04240
2019,MOUNT DESERT ISLAND HOSPITAL,2,0,0,0,62,1797,ME,BAR HARBOR,04609
2019,UNIVERSITY OF NEW ENGLAND,1,0,1,0,61,1810,ME,BIDDEFORD,04005
2019,MAINE CENTRAL INSTITUTE,0,0,1,0,61,2438,ME,PITTSFIELD,04967
2019,BOWDOIN COLLEGE,2,0,5,0,61,5213,ME,BRUNSWICK,04011
2019,MILLINOCKET REGIONAL HOSPITAL,0,0,1,0,62,3482,ME,MILLINOCKET,04462
2019,WRIGHT-PIERCE,0,0,1,0,54,8316,NH,PORTSMOUTH,03801
2019,JOHN HANCOCK LIFE INSURANCE CO USA,10,0,29,1,52,3346,MA,BOSTON,02116
2019,JOHN HANCOCK LIFE INSURANCE CO USA,2,0,13,1,52,3346,MA,BOSTON,02210
2019,NORTHERN MAINE MEDICAL CTR,1,0,0,0,62,4189,ME,FORT KENT,04743
2019,MAINE MEDICAL CENTER,3,0,5,0,62,8552,ME,PORTLAND,04102
2019,HUSSON UNIVERSITY,1,0,2,0,61,1210,ME,BANGOR,04401
2019,REDINGTON FAIRVIEW GENERAL HOSPITA,1,0,2,0,62,4446,ME,SKOWHEGAN,04976
2019,HOSPITAL ADMINISTRATIVE DISTRICT N,1,0,0,0,62,9670,ME,DOVER FOXCROFT,04426
2019,MCCAIN FOODS USA INC,1,0,0,0,31,8597,IL,OAKBROOK TERRACE,60181
2019,TELIGENT INC,0,0,1,0,32,5758,NJ,BUENA,08310
2019,LANDING SCH OF BOATBUILDING AND DE,0,1,0,0,61,5980,ME,ARUNDEL,04046
2019,WOODARD & CURRAN INC,0,0,3,0,54,3222,ME,PORTLAND,04102
2019,THE AROOSTOOK MEDICAL CENTER,6,0,1,0,62,2148,ME,PRESQUE ISLE,04769
2019,PINES HEALTH SVCS,2,0,3,0,62,6890,ME,CARIBOU,04736
2019,PENOBSCOT RESPIRATORY,2,0,1,0,62,7467,ME,BANGOR,04401
2019,MAINE COLLEGE OF ART,1,0,0,0,61,8758,ME,PORTLAND,04101
2019,IDEXX LABORATORIES INC,2,0,15,0,54,3723,ME,WESTBROOK,04092
2019,LANCO ASSEMBLY SYSTEMS DBA LANCO,0,0,1,0,33,4214,ME,WESTBROOK,04092
2019,COMMUNITY CLINICAL SERVICES INC,0,0,1,0,62,9788,ME,LEWISTON,04240
2019,SOUTHWORTH INTERNATIONAL GROUP INC,0,0,0,1,99,9894,ME,FALMOUTH,04105
2019,ACADIA HOSPITAL,0,0,1,0,62,9837,ME,BANGOR,04402
2019,STROUDWATER ASSOCIATES,0,0,1,0,54,9937,ME,PORTLAND,04102
2019,CHERRYFIELD FOODS INC,0,0,1,0,11,2554,ME,CHERRYFIELD,04622
2019,BAKER NEWMAN NOYES PA LLC,0,0,1,0,54,4526,ME,PORTLAND,04101
2019,SPECTRUM HEALTHCARE PARTNERS PA,3,0,1,0,62,0040,ME,SOUTH PORTLAND,04106
2019,TRC ENGINEERS LLC,1,0,0,0,54,6475,MA,BOSTON,02210
2019,TRC ENGINEERS LLC,6,0,4,0,54,6475,ME,AUGUSTA,04330
2019,WEX INC,4,0,16,0,52,6993,ME,SOUTH PORTLAND,04106
2019,EASTERN MAINE HEALTHCARE SYSTEMS,0,1,0,0,62,7066,ME,BREWER,04412
2019,GULF OF MAINE LOBSTER FOUNDATION,0,0,1,0,54,5494,ME,KENNEBUNK,04043
2019,UTC ASSOCIATES INC,0,0,1,0,54,8464,NY,NEW YORK,10001
2019,WOOD GROUP USA INC,6,0,8,0,54,1791,TX,HOUSTON,77084
2019,ROCHA & COMPANY PC,0,0,1,0,54,2424,MD,GAITHERSBURG,20878
2019,EVERCORE PARTNERS SERVICES E LLC,1,0,0,0,52,2543,NY,NEW YORK,10005
2019,EVERCORE PARTNERS SERVICES E LLC,30,1,22,0,52,2543,NY,NEW YORK,10055
2019,BROOKS SCARPA ARCHITECTS INC,1,0,1,0,54,2842,CA,LOS ANGELES,90043
2019,KEBOK COM LLC,1,0,0,0,54,7070,MI,TROY,48098
2019,DREAMLAND PRESCHOOL INC,0,1,0,0,62,8393,CA,IRVINE,92604
2019,ARIZONA PRODUCTION & PACKAGING LLC,1,0,1,0,33,9957,AZ,TEMPE,85283
2019,SC & ASSOCIATES LLP,1,0,0,0,54,2318,NY,GREAT NECK,11021
2019,MAYA CINEMAS NORTH AMERICA INC,0,0,1,0,51,2369,CA,PASADENA,91105
2019,WOOD MACKENZIE INC,10,0,5,1,54,4533,TX,HOUSTON,77057
2019,ASIAN HUMAN SVCS FAMILY HLTH CARE,0,1,0,0,62,7661,IL,CHICAGO,60659
2019,HITACHI HIGH TECHNOLOGIES AM INC,1,0,1,0,54,9971,IL,SCHAUMBURG,60173
2019,CUSTOMER VALUE PARTNERS INC,1,0,4,1,54,0597,VA,FAIRFAX,22030
2019,CITCO FUND SVCS SAN FRANCISCO INC,2,0,0,0,52,2095,NJ,JERSEY CITY,07311
2019,DIGITAS INC,3,0,1,0,54,2286,MA,BOSTON,02109
2019,DIGITAS INC,2,0,2,1,54,2286,MA,BOSTON,02110
